ID,Review
62,"It is considered a relatively good hotel in Binh Duong. The hotel is just behind the government building. The front desk can speak Chinese, so there is no problem with basic communication. The air conditioner in the room needs to be turned on for a while to be effective... The sanitation is also good, and the price/performance ratio is okay... But it's not cheap here..."
63,This is a decent place to stay at for a business trip. It is quiet and reasonable.
64,"Luxury, good location, dedicated service, professional."
65,"Great, attentive service"
66,"The hotel is beautiful, quiet, the room is modern and very good, the staff is polite and gentle"
67,Luxurious wedding venue
68,I'll be back soon.
69,"Fast check in, friendly staffs with good command of English. Room is clean, and comfortable. Breakfast buffet has a good variety of food served. Only feedback is the location is far away from downtown and you will need to take a taxi for about 15mins (8km). For dinner, there is only 1 restaurant available on site"
70,"Good hotel, clean and good staff"
71,Best hotel in binh duong
72,"My colleague and I were here in this area for a business trip. And we are pretty happy to find this hotel in the area. The standards exceeded our expectation, the rooms were clean and comfortable. Breakfast is pretty good as well. 
There are restaurants nearby, so the location is pretty good. Would stay again when we are back."
73,"Hotel is literally in a new city. Need to walk some distance to the few available eateries.  If not, settle for the restaurant, cafe or room service.  Great food from hotel's restaurant. Very friendly hotel staff."
74,"Stayed and experienced it, it's very good"
75,Awesome property
76,My family often visit here
77,"The room was an apartment in a separate building from the front desk, and had a kitchen. There was a terrace in the room, and although it was on the 8th floor, there were no tall buildings around, so the view was good. Breakfast is a restaurant on the first floor across the pool, buffet style, noodles are pho and bunkang, eggs are cooked on the spot, such as omelets. There were many types of fruits, and when they ran out, they replenished different fruits. There is a free rental bicycle for up to 1 hour, and I was happy that my child could practice riding in a nearby park. There is a soba restaurant Katsu within walking distance around the hotel, and there are many Chinese restaurants, so you don't have to worry about eating. It takes about 15 minutes by motorbike to the Burnham theme park, the zoo is 150,000 VND for adults, 40,000 VND for children, and the athletics where parents and children can play was 100,000 VND for adults, 50,000 VND for children.There seems to be a pool, but this time Not used. The electric cars that move around the park are free, and it's a very large facility, so it's fun just to move around."
78,"It's a standard star-rated hotel. It's very comfortable overall. I've lived here for several years. A new Family Mart is opened on the first floor, which is even more convenient."
79,Staff were extremely friendly and helpful. They even accorded us check out at 3pm. We are grateful for their kindness. Defintely return to stay whenever we are in Binh Duong city for business.
80,comfortable and good facilities
81,"There is nothing around, but the hotel facilities are perfect. It's in the countryside, so if it's in the 7,8,000 yen range, it's perfect."
82,Good overally
83,"Quality Good service, modern facilities "
84,"Wonderful, quite deserted, wide, clean, beautiful, large, comfortable parking space"
85,Wonderful
86,"One of my favorite places to stay in Binh Duong, the gym and pool are really nice, and they have 24 hour dine in service! Make sure to check out Eits cafe as well"
87,Attentive service
88,Haven't entered yet but looks ok from the outside. But there are no facilities around to have fun
89,"Seem fine, quiet space"
90,Good hotel for big conferences in the province 
91,"excellent, staff very kind and supportive!"
92,I stayed 10 days. I felt food is ok and very comfortable to stay. I stayed 10 days. I felt food is ok and very comfortable to stay.
93,"Luxury, polite hotel"
94,"The room is comfortable and spacious and kept clean. The breakfast in the restaurant was very good, but the western food for dinner taste was far from menu. Whether it's a restaurant or a counter, getting an invoice is a hassle, especially for companies that have to print the name in English. The room is comfortable and spacious and kept clean. The breakfast in the restaurant was very good, but the western food for dinner taste was far from menu. Whether it's a restaurant or a counter, getting an invoice is a hassle, especially for companies that have to print the name in English."
95,"I visited for the first time in two years, and the area around the hotel has changed completely. Family Mart was made next to the cafe next to the lobby. Convenient. The room has a large refrigerator, kitchen and sink, so you can cook light meals. It is fully air-conditioned and cools well. Amenity is enriched, too and does not struggle. The bath is a room with a shower only. The bed is big and there is an air conditioner in the bedroom, so you can sleep well. There is a large TV, but it is not turned on. I will use it again."
96,"The food is delicious and reasonable price, nice staffs and environment."
97,Quite good service and food
98, neat and clean excelllent work or furniture is awesome must favorite light colour is petfwctly beutifull i like it
99,Cozy
100,Safe and clean place to stay for business trip in Bình duong
101,Beautiful and luxurious space
102,"The hotel has an elegant environment, complete facilities and good service. The buffet in the morning is still okay, and there are many types of cuisines for dinner, so you can choose what you want."
103,"Large scale, airy, enthusiastic and polite service staff, light buffet food is not delicious, simple"
104,"Spacious hotel. Cool, attentive service The hotel is spacious. Breathable, attentive service"
105,This is a very greenery set up and high standard hotel. Room clean and spaces. Breakfast is plenty of choices and delicious. The only problem here difficult to access to major town because is a new town yet fully developed. Surrounding nothing interesting but is good for business trip because in new industrial zone -after work go back hotel and  Another problem of the hotel could building design problem. Car porch flooded and very difficult to access your taxi if heavy pour. Others are good.
106,"Nice location, not so much traffic - Easy to get around - Good service and the Food service is getting better and better"
107,"Delicious food, nice room and very professional staff"
108,"The general facilities in the room are okay. The key point is that there is a front desk with a bad attitude. He must be a newcomer with no sense of service. He looks superior. He reads the rules and regulations, does not understand the service with a smile and does not consider the actual situation of the guests. Bad reviews!!!"
109,Best in that industrial area
110,"The attitude of the service staff is very good. There is a 24-hour supermarket outside on the first floor, which is very convenient. There is a lot of space. If you don't want to stay in the room, you can take a walk in the atrium and nearby. very quiet."
111,I left my phone at the hotel
112,The hotel is a pleasant surprise of luxury with a staff that earn more than 5 stars. Very friendly and accommodating. I’m looking forward to my return. Thank you for an enjoyable stay
113,I was happily surprised by this accommodation. More luxurious than I expected and the staff is the best I have dealt with in my travels the last 5 months. I was so happy with it I moved into their services apartment building next door. Book this accommodation. You will not be disappointed!!
114,Management attitude is not good
115,The air conditioner is strong enough even in the hot season.
116,"The first time I came to Binh Duong was also the first time I met such a bad hotel. I booked a room for 2 nights for 2 days but my friend is a foreigner. My friend doesn't have the original passport but we took pictures but the hotel did not accept me to check in, so I had to check out while I had not stayed until one night, I checked out, the hotel did not refund 1 night, not for me at that time, it was very late at midnight but the hotel still determined not to solve it for me and I had to check out in the night and the way of working was TOO STRICT AND CONSERVATIVE I have been to a lot of 5, 6 star hotels all accept a photo passport but this is the first time The first time I met a hotel QUALITY OF SERVICE IS OVER NORMAL. The rules are too strict and strict with customers such an extremely bad experience when coming to Binh Duong from now on I will never use these hotels. BECAMEX related services too!!"
117,"I didn't expect a high level of service and amenities because it wasn't in a touristic area in Ho Chi Minh City or other cities in Vietnam. I was able to sleep comfortably, the restaurant was good, and the pool (we didn't use the facilities) seemed good. The surroundings In a situation where infrastructure such as restaurants are absolutely lacking, you will feel like you are only sleeping and coming out.”"
118,Wide space. Near the administrative center of Binh Duong.
119,"Clean, professional."
120,"- Room service good
- Good facilities 
- Check in/out - fast
- Good location for join activities at the Binh Duong conference center
- Gym room/ swimming pool good enough for exercise / relaxing if you do not want to take a walk/ jog around the hotel."
121,Stayed the night before to participate in the marathon. There was a special price... The breakfast buffet is
122,The hotel is fully equipped. Good runner service. See you next time. #marathonbinhduong
123,"The hotel environment is great, but the room smells of smoke"
124,"4-star standard hotel-the surrounding is a bit sad,in recent years,I have visited but nothing has changed-the service is still small,only qualified for rest"
125,"Very good experience, will stay again next time"
126,"All perfect.
Rooms, swimming pool, gym, sauna and a fantastic breakfast buffet!
Few things outside the hotel, but just call a taxi with Grab (app to call taxis / private cars) and you can go wherever you want. Ho Chi Minh is only 35km away and it's easy to get there"
127,Elegant and polite
128,Beautiful hotel with great service. Very good breakfast also.
129,Happy to stay here for one month.
130,"Enthusiastic staff, good service, beautiful rooms"
131,"The hotel is very beautiful, the service is very enthusiastic!"
132,"High-class hotel, modern facilities, amenities worthy of 5 stars. Especially professional, friendly staff, always willing to help anytime, anywhere. I will definitely come back here again."
133,A hotel with friendly and dedicated staff.
134,Classy hotel with professional service 
135,"The hotel is very good, the staff is very friendly, enthusiastic and attentive."
136,"During my stay at the hotel, beautiful, clean, cool, enthusiastic staff, delicious food"
137,"Nice hotel, friendly and enthusiastic staff. Free and fast wifi :3 Been here for 2 months and very satisfied with the quality."
138,A great experience if I have the opportunity to come back I will still choose Becamex Hotel New city
139,I am a doctor who goes to fight against the epidemic and is lucky to be at Becamex hotel
140,The service staff are great
141,"The people of Binh Duong are cute, the hotel staff are extremely likable, love the gentle voice and affection here....."
142,"clean, beautiful, attentive service"
143,"Good service, enthusiasm, continue to promote."
144,I found the staff here to be enthusiastic. Rooms are beautiful and modern. Overall it's ok
145,"I have stayed at the hotel for 2 months. An extremely wonderful experience. You are very professional and dedicated. The food is delicious. If I have the opportunity to return to Binh Duong, Becamex Hotel New City will be my choice. Thank you very much"
146,"Friendly staff, good service"
147,"Beautiful place, extremely good service, unique view"
148,I recommend staying here since it feels like home
149,"Exquisite, luxury, modern"
150,A good hotel to stay in Binh Duong
151,"The service staff attitude is not good, I am a worker, the company's year-end party is held here, I went in early while waiting with some colleagues to attend the party, I saw that there were chairs in the lobby for a while. , an employee showed us a cold attitude and told him that these chairs were for guests to sit, not to sit. Suddenly I was about to ask you again, so are we the owner? I heard it's 4 stars, but I think I'll count the boss 1/2 star"
152,Luxurious and comfortable space. But the food is not suitable for Northern people
153,"I came to work for three months and encountered a severe epidemic in Vietnam. On the last night, Vietnam was so beautiful. I look forward to Vietnam getting rid of the epidemic as soon as possible. Come on, Vietnam."
154,"The hotel is very large and spacious, the space in the hotel is green with a lot of trees, the reception is enthusiastic and the food is delicious"
155,Hotel environment can serve general breakfast
156,"Place is clean. Plenty of room. Furniture is awful. Bed, sheets, pillows, couch are all sub par at best. Food is decent and priced accordingly."
157,"Beautiful scenery, airy. Average service quality 3 stars to 4 stars"
158,"The staff are amazing, everything is beautifully clean and the pool is gorgeous. Although breakfast menu is limited, coffee is very good.
I believe this hotel is new, but there are already some signs of peeling paint. The design of the apartment is weird - TINY bedroom. Also needs some more furniture - doesn't look inviting."
159,Nice facilities and a clean environment
160,"It's the first time to stay, the lobby is elevated and the environment is comfortable. The size of the room is acceptable, there is a small living room and a microwave oven can be used. The pillows in the room are moderately soft and hard, and it is quite comfortable to sleep. There is a convenience store next door to the hotel"
161,"The hotel is very new and the decoration facilities are very good. Unfortunately, the surrounding area is not very convenient, so convenience stores or restaurants need to take a ride. The advantage is that it is very quiet at night, so it is recommended"
162,New city location for price. The hotel is also clean and tidy
163,"Breakfast is ok, the epidemic is a little less"
164,"If I could give 0 stars I would. Their staff here is the most incompetent bunch of people I have ever met. Zero service zero thought of the customers needs. Absolutely appalled at the service from this “5 star hotel”. I would never stay here again and would never bring any of my custom here ever! Don’t stay here if you can help it, the Mira hotel in Thu Dau Mot is much better!!"
165,"Talk about a lack of service, I have lived here a long time, 10 years now, and this has got to be the worst service I have ever experienced. We ended up having to leave the hotel and stay at The Mira Thu Dau Mot, wow what a difference. A hotel that cares about the customer."
166,"The staff is very enthusiastic and friendly, the rooms are clean, comfortable, the swimming pool is clean, the space is quite quiet."
167,Good choice for business travel
168,"Clean, good attitude of lobby staff"
169,"Service staff attentive, clean"
170,"The hotel is beautiful, spacious and clean, the party is so great"
171,"I took my wife to check in. Only I have a certificate and she only has an electronic certificate. The waiter insisted on not allowing me to check in. In the end, I wasted a room fee. I don’t know how to work around it. It’s rubbish"
172,"On January 22, 2021 our company held a YEP party at your hotel. It was raining that afternoon and many of our staff members did not bring umbrellas. The hotel has staffs holding umbrellas in the parking lot, but there are still many hotel staff who just stand there holding umbrellas and do not help cover the rain for our company's employees. As a result, there are some female staff who get cold when entering the banquet hall (the hall is air-conditioned). Hope the hotel will improve in the near future."
173,"Yeal! Great in security space, clean environment, super attentive service."
174,"Clean, good facilities, good service, reasonable price.
The surrounding living environment is getting ready and there is no inconvenience. "
175,Cakes and coffee are great
176,New and beautiful 4-star hotel in Binh Duong new city
177,Ps the food is not good :)
178,"Professional, fast, clean, hope to continue in the future"
179,"Today December 19, 2020 and December 20, 2020, our family had a vacation at your hotel, and we had an extremely horrible customer experience at your hotel: sentence The story is as follows - after checking out the room, the hotel manager asked the family to compensate the hotel property as a piece of leather note because of ink stains (pictured before and after 1 hour of treatment by the family), the manager The manager Tran Thi Nhu Y forced the family to compensate the family with an amount of over 800,000VND for the property incident as shown in the picture, otherwise, it must be kept at the hotel, and keep the credit card or all identification documents and ID card. .
From the above story:
1. Lessons on customer experience in today's business.
2. the management of the service industry in handling according to the enterprise's regulations
3. how to manage communication and the trade-off of intangible values in terms of brand and value in terms of price in perception and in customer experience in business."
180,Lovely restaurant and staff are very accommodating
181,"Bad attitude! I also bring all the copy document, BTW why your staff didn't give me the cancelation form? and I called becamex, staff tell me contact Agoda by myself....tell me why???"
182,"Five-star hotel in Binh Duong, good service"
183,"Hotel in Xincheng District, the overall level is good, the front desk can't speak Chinese, the location is not easy to find, the parking lot is large, the room is clean, the breakfast is average, the price is very expensive, the hotel policy is terrible, and the waiter's attitude is not good"
184,Spacious and beautiful.
185,"The building is beautiful and the rooms are clean and wonderful, but above all, the staff is more wonderful than that. I have never received such a wonderful response at an overseas hotel. I would like to thank the staff and their management for taking care of their guests."
186,"Clean, polite, attentive.."
187,"I really like this hotel because :
  1. The hotel is extremely clean
  2. The service attitude of the staff is very professional, enthusiastic and cute
  3. Delicious breakfast buffet
  4. Large and clean swimming pool
  5. Quiet space, with food served in the room
Thank you very much Hotel"
188,New place but need to improve the service
189,"It is the best hotel in Pingyang. But the design is very strange. The room is big and the bathroom is small. General rooms do not have bathtubs. Even if it is a suite, there is no dry and wet separation, and the bath must be in the bathtub. Who dares to take a bath in this kind of bathtub?"
190,It was nice that the space was bright and spacious. It is also good to be able to go to Meigen Hotel within a short walk.
191,"Beautiful view, delicious food, professional service staff."
192,"I went to a wedding on October 25, 2020 at noon, I really don't understand how terrible the service staff is or how the staff trained the service staff to know when the guests were eating in the cup but didn't ask me how disappointed I was. To work like that is to be said to be uneducated. Rate 1 star so you guys know how to work next time not like that again."
193,"The quality of service is extremely poor, the request for proof is strange and unreasonable, the new passport and visa are not accepted, but require the + sign of the expired visa. for reasons issued by the province. But not in the regulations of ls on Agoda. Meanwhile, I went to another hotel and still checked-in normally. Avoiding Agoda is a waste of time and money and doesn't solve anything"
194,"I stayed at the Becamex New City for a month when I first arrived in Vietnam to start a new job. 
The hotel staff were excellent, the level of service was fantastic.
The facilities at the hotel were good. 
It was a great way to start a new journey."
195,"Large premises, airy rooms, good quality"
196,"Walked in the parking lot on the right side of the hotel yesterday. I want to say that I have lived here for two days and I haven't taken a photo to commemorate it. So I stood in the middle of the parking lot to take pictures of the exterior of the hotel. As a result, the administrator yelled to leave. I mean a resident. I was also called away very rudely. Although I walked into the hotel, I felt that the service was okay. But a short unpleasant experience. Just made me feel bad. Otherwise, it must be five stars today, but the hotel is still good. So I still plan to live until the 22nd"
197,"The space is beautiful, polite, suitable for receiving customers and partners."
198,Great experience ever had
199,"Strict management, ban all types of dump trucks on the premises of the building"
200,"Great hotel, very new, spacious, and the quality of the breakfast buffet is very good."
201,"I have a copy of my passport, but I was kicked out for not having a passport."
202,"The environment and dining are okay, but their business room is not worth it, and the network is too bad, because I just wanted to find a quiet place to work, I thought the network would be better in a better room, but the network is really bad , It's okay at night, but it's really bad during the day. I booked for two days, stayed for one day and left."
203,"Clean rooms, large lobby for shuttle bus, convenient to attend conferences, to the provincial administrative center"
204,"I enjoyed my weekend here. The hotel is very clean, quiet, the staff is very friendly."
205,"The environment is good, very good and the price is small."
206,"A corner from the hotel balcony looking over The space is quite comfortable, a suitable place to stay"
207,"Only used the restaurant service here, quite tasty in terms of quality and presentation."
208,"Adapt to local conditions, okay"
209,Polite staff. Good service.
210,"Good, luxurious place for guests to stay, hold conferences, parties..."
211,"The environment is very good, there is a big swimming pool"
212,The hotel is clean. airy s. There is a large party room...
213,"Fancy place, suitable business stay. More than 4 stars level"
214,"It is the largest of the nearby hotels. However, the reception has not improved at all, so curses come out naturally. Be sure to check as the payment terms are different between reservation and check-in. It's not once or twice that I grabbed my back before checking into the room. If you can afford it, use the Thu Dau Mot branch of the same hotel."
215,"Specializes in serving accommodation, weddings, conferences"
216,"Enthusiastic security, polite staff"
217,"Luxury, spacious parking lot"
218,"Standard room is good, apartment room is average!"
219,The most comfortable hotel in BD
220,"4-star hotel, good service, thoughtful, considerate, near the provincial administrative center, near amusement parks, cafes, dining,..."
221,"In this area, you can't find a better hotel than this one, so-so, you can't ask too much. There are many restaurants and bars around, which is convenient for evening parties."
222,"Good menu, reasonable prices. Location food for business"
223,"The location is a bit inconvenient as it is an hour away from downtown Ho Chi Minh, but the hotel itself is good value for money. The residence building and the hotel building are divided, and the residence building is cheaper... Still, the hotel building has better internal facilities."
224,"My first time coming to this place! Take a survey to prepare for an upcoming event for guests! - Convenient location: Located on a large, open road, parking is comfortable! - The reception area is open, there are many trees when entering, it is very pleasant. - Step upstairs, until the Foyer area welcomes guests, there is also a very nice place to take pictures! - The next step into the conference room is very large, according to my observations, it can accommodate more than 1000 guests. - The toilet area is clean and fragrant, that feeling is too ok. Almost all events in Binh Duong are held here! Wish Becamex Hotel New City more success!"
225,Good location and clean
226,"It is a real Oasis in the middle of “Grey” Binh Dung. About the restaurant: Enthusiastic service, decent food, comfortable sofas, clean-clean (it is a privilege!) and affordable prices. Good to take a breath."
227,"Clean, convenient for work."
228,"Overall there is plenty of space.
Dinner at the restaurant is inexpensive and delicious.
Reusing room card holders and slippers
spoil the impression. "
229,Great location to the factories in and around Binh Duong.  Hotel is very clean and staff is very friendly.
230,I think the facility is well managed. It's clean.
231,"Overall it's good, but the toilet doesn't flush well"
232,"The planning of the neighborhood is very good, very American style, the roads are big and the sidewalks are big, the houses are set back, it feels very quiet, but it is still a rural place XDD, but the consumption is not in the countryside. The hotel itself is very high-end, with an infinity pool. Gym, steam room, and very high-end (consumption) restaurants cost about 100,000 to 200,000. The point is that they are still delicious, so they are acceptable. It can be called an oasis in the desert."
233,"There are many mosquitoes in the low-rise housing, and it is difficult to sleep at night"
234,One of the vip hotels in Binh Duong
235,"Nice, new, clean hotel with friendly staff"
236,"Great hotel. Very clean and staff ready but not in your face. Swimming pool and tennis courts. The only drawback is that the bar of a hotel of this category should be open almost 24 hours a day, it can't close at 10pm. Excellent breakfast"
237,It is a clean room with simple and sufficient facilities. There is a food court and Family Mart nearby.
238,"The air conditioner was terrible, from the time I called the front desk at 10pm to complain, and ended up being offered a different room, it took an hour and was inefficient. It's so late, don't you think about the guests?"
239,"The environment is elegant, the service is considerate, and the sister at the front desk speaks Chinese very fluently"
240,"Excellent location which was near to the company I was visiting, the cleanliness, comfort, strong wi fi, great customer service, comprehensive, facilities, buffet breakfast.
Not much"
241,"Breakfast is very good, there are many choices, more vegetarian would be better.
Bathroom shower faucet water is not big enough"
242,The toilet is exempt from treating the horse head. very powerful
243,"The breakfast is ok, there is parking, the pool looks nice. I just stayed for one night on a business trip and didn't pay much attention to details. But no discomfort."
244,"I visited Vietnam for the first time and stayed there. The breakfast area is too small for the number of people in the hotel. In addition, Japanese restaurants and convenience stores are located within a 10-minute walk and are in a delicate position."
245,The service is very good!
246,Peripheral facilities are not very good for business
247,"There are many restaurants nearby but there is nothing to go shopping. The advantage is that it is very quiet, the breakfast is very good, the room is big and clean, but I don’t know why the air conditioner is not cold"
248,"It was satisfactory for the price. All the staff are kind and always smile and make you feel comfortable. However, there was nothing around so I never wanted to go out at night."
249,"The hotel is the best hotel in the vicinity. Most of them are Chinese people. The breakfast is also good. It is delicious. The best food is Vietnamese noodle soup. There are also good places to eat nearby. There are Chinese food, Vietnamese food, and Japanese food."
250,breakfast is not bad
251,"The room is spacious, but I think something is expensive. Staff are friendly but a bit stuffy"
252,"Clean, but a bit far from town"
253,It was a comfortable stay in a good facility.
254,"The space is good, the service is good but the food is not very good"
255,"Beautiful environment, worth recommending"
256,"Good value for money hotel, good breakfast, good swimming pool"
257,"I often use it, but the service is always polite and the breakfast buffet is wonderful."
258,"Rich breakfast, good choice for business trip"
259,The cafe on the first floor has a nice atmosphere
260,"This is the best nearby hotel. Every time I stay here, I also have food and drink. It is very close to some industrial parks. It is really convenient for business trips"
261,"Clean, cool, beautiful, attentive and polite service staff"
262,The food menu was plentiful and delicious. I would like to improve the mounting position of the toilet paper. I had a good time overall.
263,"Very good breakfast selection, egg dishes such as omelettes are prepared live, but the coffee took some getting used to, very clean room, comfortable bed, very good WiFi, friendly staff, maybe replace the air conditioning filter for better room air"
264,"Every time I come to Binh Duong Province, Vietnam, I will definitely stay in a hotel. Probably one of the best hotels in the area."
265,"This is a place to stay for business travelers in Binh Duong New City, not suitable for tourists, because it is very far from Thu Dau Mot center."
266,"I was attending a conference at the conference centre next to the apartment hotel hence convenient place to stay. It is about 17 kms (about one hour) from Ho Chi Minh City airport. Check-in/out was efficient. Nice and spacious lobby. One bedroom suite was comfortable however very strong smoking smell in the room. Bathroom and toilet was spacious. Self catering facilities available in the room. Bed was comfortable. 

There are no interesting places to visit in the vicinity of the hotel. Wide tree-lined streets and newly constructed buildings nearby however for those who would like to dine in restaurants, shopping or enjoy some entertainment, the downtown area is about 20 minutes by taxi. 

Buffet breakfast was quite extensive and good. Restaurant serves quite decent pho."
267,"The hotel is very good, the breakfast is very good"
268,"The hotel is beautiful, but I don't think I'll stay there unless I'm on business because there's nothing there."
269,Good accommodation and breakfast
270,"I've stayed here several times, the location can save the drive to and from Ho Chi Minh City
The surrounding environment is getting more and more lively
The options of places to eat are also increasing"
271,"The location of the hotel is moderate, the front desk staff is friendly, the room facilities are perfect; the bathroom has sufficient water power; the hotel has a complete swimming pool and spa; the breakfast is good"
272,"It's a clean and friendly hotel, but it's getting more and more expensive. Breakfast is good, you can exercise, gym, sauna, swimming, and it's close to the golf course, so it's a designated hotel for women's golf in Korea. Shampoo and soap products aren't good, so it's better to bring your own. There are a few convenience stores and restaurants nearby. It's okay to eat outside sometimes, and there's a Korean restaurant, Arirang."
273,"Breakfast is delicious and so does coffee. Room is clean. Very peaceful environment. Staff there are always smile and ready to provide customer the service. Definitely, it is the best hotel in this area."
274,The best hotel in Binh Duong province!
275,"quiet place.
the breakfast"
276,"This hotel is good for attending a meeting at the next door Binh Duong conference centre or for other work related purpose. I cannot imagine anyone to stay in the fairly empty Becamex New City for any other reason. (As if the planners did not learn anything from the 20th century: you are supposed to design cities for people, not for cars!) The hotel is very big and divided into hotel rooms and apartments, while the restaurant, a gym and a great outdoor pool are in the middle. For an unknown reason I got the apartment. It was clean, but quite sparse and not a great design. My colleague got a hotel room which looked comfortable. The restaurant was ok. I particularly liked the gym and the pool. The service was kind and attentive."
277,Some rooms are not soundproof
