NameReviewer,FullReview,processed_content,Rating,Trip_Type,YearofStay,CountryReviewer
Al,Beautiful setting and the couples therapy room was outstanding. But from the get go I felt very rushed. When someone comes to a spa .. you want to relax a bit. Unfortunately they are always standing on your head to move you along. I found that quite annoying.,beautiful setting couples therapy room outstanding get felt rushed someone comes spa want relax bit unfortunately always standing head move along found quite annoying,4,,2023,
Siddhesh Mayekar,Entire team is very supportive. Food quality & test is very good. Property is beautiful with beautiful peacocks around.  Rooms are also maintained well with the royal touch. SPA service is also good. Venue options are better.,entire team supportive food quality test good property beautiful beautiful peacocks around rooms also maintained well royal touch spa service also good venue options better,4,,2023,
K S R,Property is beautiful and staff very polite and helpful.  Service is excellent and so is the food. SMM hotel has opened in the same premises. This has created problems as all their guests can use all these facilities at Rambagh Palace. The charges there are less than half of RBP and naturally they prefer the option of dining at RBP.. This usually creates situation of lack of space in restaurants for guests of RBP as also non residents have been allowed. Another factor was that for New Year eve dinner RBP and SMM guests were combined and the rates were steep for  RBP and not for SMM. It was unfair for RBP guests who have always enjoyed New Years Eve exclusively.   Quality of food was excellent and the Chefs team are really great as also the service at the restaurants and roomâ€¦,property beautiful staff polite helpful service excellent food hotel opened premises created problems guests use facilities palace charges less half naturally prefer option dining usually creates situation lack space restaurants guests also non residents allowed another factor new year eve dinner guests combined rates steep unfair guests always enjoyed new years eve exclusively quality food excellent chefs team really great also service restaurants room,4,,2022,
Wai Ting H,"Nice ambience at the Verandah to spend a relaxing afternoon. My husband had the Indian high tea set and I had the English Victorian. The Indian one is more tasty. Tea is included too.  I asked for no cheese and the chef Asmok and service staff Sarjeet came to check if I would like my high tea dairy free.   However, everything takes long time, so expect to enjoy a long afternoon.",nice ambience verandah spend relaxing afternoon husband indian high tea set english victorian indian one tasty tea included asked cheese chef service staff came check like high tea dairy free however takes long time expect enjoy long afternoon,4,,2022,
Yash,"I liked the welcome ceremony the most. All the arrangements were very good. The staff members were polite and very helpful.  Itâ€™s just the food which could have been better.  They were only few staff members  who knows the history of palace.  Anjali Shekawat gave me a brief walk through the whole Rambagh Palace.  Amisha and Minakshi were helpful at the desk and helped me visit few places at Jaipur.  Thanks to Anjali,  Amisha and Minakshi for their service at Rambagh Palace. Hope to visit the palace soon.",liked welcome ceremony arrangements good staff members polite helpful food better staff members knows history palace gave brief walk whole palace helpful desk helped visit places thanks service palace hope visit palace soon,4,,2022,
Lijo A,I had the Thali from here and it really was definitely a royal experience.The food was jam-packed with flavour and the service was exceptional.Special thanks to Prakash and Rakesh for their 5 star  service.The location is also spectacular.,really definitely royal food jampacked flavour service thanks star location also spectacular,4,,2022,
Companion12378508395,"Joined for High Tea, and had a fantastic time.  Balram and Prem Bhatt tools excellent care of us and my daughter enjoyed a delicious rose lemonade. Must visit when in Jaipur, hotel is beautiful as well.",joined high tea fantastic time tools excellent care daughter enjoyed delicious rose lemonade must visit hotel beautiful well,5,Traveled with family,2023,
Kate L,"The high tea was absolutely beautiful and was incredibly fresh and tasty.  The service was lovely. Weâ€™re not used to fancy places and this was such a treat.  Sarjeet and team were fantastic hosts, thanks!",high tea absolutely beautiful incredibly fresh tasty service lovely used fancy places treat team fantastic hosts thanks,5,Traveled as a couple,2023,
OnAir29299500443,Excellent spa treatment by very skilled therapist Pena! Manish was serving us throughout. The Taj Rambagh is a place that represents all the magic of ancient India at a true 5 star level in the heart of Jaipur in Rajasthan,excellent spa treatment skilled therapist serving throughout place represents magic ancient india true star level heart,5,Traveled as a couple,2023,
Jonny C,"excellent hotel Loved Leisure at Corinthians Everything was perfect right from the room to the restaurant,best hospitality felt ever . ... restaurant staff is just super anxious to make ur stomach and heart feel great...loved the stay at Corinthians â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸â¤ï¸",excellent hotel loved leisure corinthians perfect right room hospitality felt ever restaurant staff super anxious make stomach heart feel stay corinthians,5,Traveled on business,2023,
